    xi	    yi	  phii	 delta	    xf	    yf	  phif	sucesso	passos	 err_x	 err_y	err_phi	    EE	    ET
47.0711	10.0390	136.9012	1.0000	47.6763	16.8211	73.5298	1.0000	7.0000	0.0465	0.8318	0.1830	84.8257	1.0281
28.4461	28.3242	17.2720	1.0000	47.6781	58.7988	74.3237	1.0000	37.0000	0.0464	0.4120	0.1742	44.1438	1.0268
1.8492	1.5985	-13.0786	1.0000	47.7702	34.8872	73.4199	1.0000	63.0000	0.0446	0.6511	0.1842	67.2276	1.1108
91.0877	46.4451	171.2723	1.0000	52.3540	61.9917	118.5172	1.0000	46.0000	0.0471	0.3801	0.3169	47.5753	1.1021
64.4459	32.0792	10.1010	1.0000	66.0651	35.4646	89.6532	1.0000	4.0000	0.3213	0.6454	0.0039	66.5058	1.0659
69.4731	42.8862	-11.6847	1.0000	52.1256	72.8818	117.4163	1.0000	38.0000	0.0425	0.2712	0.3046	38.6209	1.0967
96.6480	32.5818	215.5427	1.0000	52.3083	45.5737	118.8082	1.0000	52.0000	0.0462	0.5443	0.3201	61.6235	1.1254
37.2556	99.0757	-57.5485	1.0000	37.9923	98.3995	-42.5485	1.0000	1.0000	0.2402	0.0160	1.4728	133.1009	1.0000
9.4759	39.9203	-45.0565	1.0000	47.5414	67.5642	72.7060	1.0000	56.0000	0.0492	0.3244	0.1922	36.8403	1.1904
56.4450	24.0808	55.5425	1.0000	56.8102	26.0298	86.8862	1.0000	2.0000	0.1362	0.7397	0.0346	74.3483	1.0086
8.2042	44.0433	207.2838	1.0000	42.8834	95.6551	60.4419	1.0000	67.0000	0.1423	0.0434	0.3284	30.7116	1.0775
39.9235	17.9810	0.4735	1.0000	47.5474	29.1938	70.3307	1.0000	14.0000	0.0491	0.7081	0.2185	73.5283	1.0325
69.1778	43.2250	30.3340	1.0000	52.0837	71.2162	117.2426	1.0000	34.0000	0.0417	0.2878	0.3027	39.6863	1.0366
49.2093	98.7911	-13.9939	1.0000	50.2091	98.8087	1.0061	1.0000	1.0000	0.0042	0.0119	0.9888	89.0022	1.0000
57.1269	46.1156	57.7089	1.0000	57.4428	48.0732	88.3333	1.0000	2.0000	0.1489	0.5193	0.0185	52.4840	1.0086
8.1439	12.6586	199.0168	1.0000	47.6698	73.6079	72.4377	1.0000	77.0000	0.0466	0.2639	0.1951	31.7869	1.0600
72.0724	34.2114	149.2948	1.0000	52.1172	52.3271	117.3785	1.0000	28.0000	0.0423	0.4767	0.3042	55.0161	1.0389
78.8543	55.8628	233.3644	1.0000	52.2541	66.8451	118.2352	1.0000	35.0000	0.0451	0.3315	0.3137	43.6068	1.2162
61.8859	75.8051	-27.4826	1.0000	53.7569	95.1189	120.5000	1.0000	25.0000	0.0751	0.0488	0.3389	31.1157	1.1930
55.7792	69.3639	70.3894	1.0000	52.3489	77.4897	119.1052	1.0000	9.0000	0.0470	0.2251	0.3234	36.8693	1.0204
18.2597	83.4602	-25.2050	1.0000	39.3813	95.4727	61.0937	1.0000	28.0000	0.2124	0.0453	0.3212	31.1259	1.1523
28.7905	16.0504	194.8745	1.0000	47.7715	56.6543	73.4089	1.0000	48.0000	0.0446	0.4335	0.1843	46.4659	1.0709
16.4228	86.5186	212.2472	1.0000	13.3375	89.2520	88.8351	1.0000	5.0000	0.7332	0.1075	0.0129	38.2232	1.2130
72.5221	95.4795	245.8374	1.0000	58.9996	95.0568	130.0276	1.0000	17.0000	0.1800	0.0494	0.4448	41.3236	1.2565
86.4856	49.6419	-4.9937	1.0000	88.4674	52.5828	93.3604	1.0000	4.0000	0.7693	0.4742	0.0373	61.1508	1.1279
45.7895	31.7858	-24.5819	1.0000	47.7711	31.7137	5.4181	1.0000	2.0000	0.0446	0.6829	0.9398	108.7294	1.0086
11.3365	58.2226	27.2394	1.0000	46.9640	95.8134	66.3139	1.0000	54.0000	0.0607	0.0419	0.2632	24.2441	1.0426
25.7409	4.7459	144.8409	1.0000	47.6788	45.2326	72.1840	1.0000	47.0000	0.0464	0.5477	0.1980	57.6391	1.0207
93.3424	3.1099	268.8233	1.0000	92.3991	-0.7576	248.7742	0.0000	4.0000	0.8480	1.0076	1.7642	192.7668	1.0048
28.6246	79.1168	-44.0547	1.0000	44.7672	95.1355	61.9857	1.0000	27.0000	0.1047	0.0486	0.3113	28.9110	1.1872
35.7213	14.2042	-69.3391	1.0000	47.6199	24.7418	73.2005	1.0000	20.0000	0.0476	0.7526	0.1867	77.1471	1.2583
60.1771	94.6096	264.9874	1.0000	52.3779	93.7786	123.8987	1.0000	10.0000	0.0476	0.0622	0.3767	34.5469	1.2750
